id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
ENTRE RIOS_COLON,"Colon, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,34.05,1.25,2.02,40,0.27,2.87,18.13,0.64,0.18,0.25,0.33,11491,421,682,13501,92,968,6120,215,62,85,113,77.68,52109,40476,15.51,0.1,1.01,6277,39,410
ENTRE RIOS_CONCORDIA,"Concordia, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,26.84,0.95,1.38,47.44,0.3,1.85,19.79,0.49,0.17,0.48,0.3,24747,874,1274,43735,275,1710,18246,454,158,443,276,76.35,134111,102390,8.27,0.38,1.3,8470,392,1336
ENTRE RIOS_DIAMANTE,"Diamante, Entre Rios",ALIANZA CAMBIEMOS,39.86,1.3,1.33,33.34,0.47,2.51,19.92,0.4,0.18,0.45,0.23,10611,347,354,8874,126,668,5303,107,47,121,62,76.08,39019,29687,9.34,0.05,0.94,2773,14,280
ENTRE RIOS_FEDERACION,"Federacion, Entre Rios",ALIANZA CAMBIEMOS,45.14,0.79,1.27,36.94,0.7,1.96,12,0.42,0.18,0.32,0.28,18624,328,523,15241,289,808,4951,172,74,134,117,80.72,55287,44628,6.37,0.09,1.08,2844,41,482
ENTRE RIOS_FEDERAL,"Federal, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,42.44,0.8,1.19,46.54,0.08,1.55,6.29,0.3,0.2,0.37,0.23,5439,103,153,5965,10,199,806,39,26,48,29,71.33,21521,15351,15.69,0.05,0.77,2408,8,118
ENTRE RIOS_FELICIANO,"Feliciano, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,22.52,0.54,0.93,54.42,0.26,1.24,19.17,0.24,0.18,0.21,0.3,1891,45,78,4570,22,104,1610,20,15,18,25,72.87,12329,8984,5.18,0.04,1.3,465,4,117
ENTRE RIOS_GUALEGUAY,"Gualeguay, Entre Rios",ALIANZA CAMBIEMOS,41.25,0.77,1.61,36.75,0.25,4.09,13.93,0.52,0.17,0.39,0.27,10239,190,399,9121,61,1016,3457,129,42,98,67,72.86,43333,31574,19.99,0.11,1.3,6312,34,409
ENTRE RIOS_GUALEGUAYCHU,"Gualeguaychu, Entre Rios",ALIANZA CAMBIEMOS,36.98,1.12,1.58,34.56,0.56,3.74,20.16,0.45,0.13,0.41,0.3,25224,767,1079,23569,385,2553,13749,304,91,280,205,82.04,90247,74043,6.87,0.11,0.9,5090,83,664
ENTRE RIOS_ISLAS DEL IBICUY,"Islas Del Ibicuy, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,31.86,0.68,0.8,53.85,0.36,1.54,10,0.22,0.23,0.15,0.3,2469,53,62,4173,28,119,775,17,18,12,23,77.33,10740,8305,6.07,0.05,0.58,504,4,48
ENTRE RIOS_LA PAZ,"La Paz, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,27.8,0.67,0.86,58.67,0.32,1.43,9.17,0.29,0.14,0.2,0.44,10437,253,321,22024,122,538,3444,108,52,76,165,73.29,55545,40709,6.73,0.22,0.83,2741,89,339
ENTRE RIOS_NOGOYA,"Nogoya, Entre Rios",ALIANZA CAMBIEMOS,36.42,1,1.02,35.33,0.57,2.35,21.63,0.39,0.22,0.8,0.27,8440,232,237,8189,133,544,5012,90,51,185,63,79.47,32386,25736,9.19,0.1,0.65,2365,27,168
ENTRE RIOS_PARANA,"Parana, Entre Rios",ALIANZA CAMBIEMOS,36.55,1.15,1.56,34.18,0.64,5,18.69,0.6,0.15,1.15,0.34,73421,2312,3127,68645,1283,10036,37541,1202,296,2305,687,77.52,286549,222130,8.14,0.08,1.36,18078,174,3023
ENTRE RIOS_SAN SALVADOR,"San Salvador, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,31.18,0.87,1.01,49.17,0.06,1.98,14.6,0.37,0.18,0.27,0.31,2932,82,95,4624,6,186,1373,35,17,25,29,78.61,15216,11961,20.77,0.02,0.59,2484,2,71
ENTRE RIOS_TALA,"Tala, Entre Rios",ALIANZA CAMBIEMOS,39.59,1.09,1.26,39.11,0.37,2.52,14.92,0.48,0.13,0.31,0.23,5948,164,190,5876,55,378,2241,72,20,46,34,79.53,22334,17763,14.52,0.05,0.84,2580,9,150
ENTRE RIOS_URUGUAY,"Uruguay, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,33.68,1.05,1.6,42.27,0.71,4.32,14.86,0.6,0.23,0.39,0.3,18839,586,895,23640,398,2418,8310,336,128,216,166,79.25,80987,64181,11.72,0.09,1.05,7521,56,672
ENTRE RIOS_VICTORIA,"Victoria, Entre Rios",ALIANZA CAMBIEMOS,41.35,1.11,1.46,36.95,0.01,5.4,11.65,0.5,0.16,1.01,0.4,8667,233,305,7746,3,1132,2443,105,34,211,83,76.95,29755,22895,7.36,0.06,1.03,1684,13,236
ENTRE RIOS_VILLAGUAY,"Villaguay, Entre Rios",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),25.25,0.58,1.56,33,0.29,1.98,36.15,0.5,0.2,0.27,0.23,6782,155,419,8864,77,531,9710,134,54,72,61,74.56,39283,29291,7.18,0.09,1.04,2102,25,305
FORMOSA_BERMEJO,"Bermejo, Formosa",ALIANZA FRENTE PARA LA VICTORIA,10.69,0.14,0.49,74.76,0.01,3.48,6.84,0.13,0.09,0.16,3.2,744,10,34,5202,1,242,476,9,6,11,223,62.7,11247,7052,1.16,0.03,0.14,82,2,10
FORMOSA_FORMOSA,"Formosa, Formosa",ALIANZA FRENTE PARA LA VICTORIA,20.49,0.53,2.18,49.06,0.06,1.15,24.36,0.53,0.22,0.29,1.13,26804,690,2845,64164,74,1506,31864,699,285,385,1481,75.31,181070,136366,2.89,0.13,1.07,3938,171,1460
FORMOSA_LAISHI,"Laishi, Formosa",ALIANZA FRENTE PARA LA VICTORIA,14.24,0.31,0.73,66.99,0,0.76,12.93,0.33,0.13,0.44,3.13,1640,36,84,7713,0,88,1489,38,15,51,360,74.73,15738,11761,1.43,0.16,0.51,168,19,60
FORMOSA_MATACOS,"Matacos, Formosa",ALIANZA FRENTE PARA LA VICTORIA,7.4,0.3,1.02,75.21,0.45,0.76,11.16,0.31,0.13,0.18,3.08,495,20,68,5033,30,51,747,21,9,12,206,60.08,11364,6828,1.3,0.12,0.57,89,8,39
FORMOSA_PATIÑO,"Patiño, Formosa",ALIANZA FRENTE PARA LA VICTORIA,12.75,0.42,1.32,67.65,0.02,0.76,13.67,0.33,0.21,0.24,2.62,4691,155,485,24897,6,280,5031,123,79,90,965,65.79,57076,37552,1.48,0.02,0.51,554,6,190
FORMOSA_PILAGAS,"Pilagas, Formosa",ALIANZA FRENTE PARA LA VICTORIA,10.49,0.24,0.78,76.05,0,0.64,9.4,0.26,0.14,0.26,1.73,1193,27,89,8646,0,73,1069,30,16,29,197,75.19,15475,11635,1.93,0,0.35,225,0,41
FORMOSA_PILCOMAYO,"Pilcomayo, Formosa",ALIANZA FRENTE PARA LA VICTORIA,14.92,0.44,1.03,70,0.05,1.13,10.84,0.36,0.35,0.25,0.64,7161,211,495,33603,23,541,5206,175,166,119,305,72.21,68580,49522,2.38,0.06,0.63,1178,28,311
FORMOSA_PIRANE,"Pirane, Formosa",ALIANZA FRENTE PARA LA VICTORIA,17.13,0.47,1.45,62.63,0.01,1.09,14.58,0.56,0.18,0.37,1.54,5855,161,495,21410,4,371,4985,191,63,126,525,68.81,51233,35251,2.31,0.02,0.7,813,6,246
FORMOSA_RAMON LISTA,"Ramon Lista, Formosa",ALIANZA FRENTE PARA LA VICTORIA,3.31,2.47,1.08,85.79,0.05,0.64,5.65,0.24,0.2,0.3,0.29,197,147,64,5106,3,38,336,14,12,18,17,65.25,9287,6060,1.67,0,0.12,101,0,7
JUJUY_COCHINOCA,"Cochinoca, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,30.43,0.85,2.03,44.86,0.47,1.68,17.81,0.67,0.32,0.59,0.3,2009,56,134,2962,31,111,1176,44,21,39,20,68.52,10039,6879,2.63,0.13,1.25,181,9,86
JUJUY_EL CARMEN,"El Carmen, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,24.32,0.62,2.27,44.7,0.52,1.47,24.47,0.49,0.19,0.47,0.48,12371,317,1154,22733,265,746,12447,248,98,237,244,78.77,67038,52805,2.57,0.12,0.99,1358,65,522
JUJUY_DOCTOR MANUEL BELGRANO,"General Belgrano, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,26.42,0.78,6.25,34.15,0.66,1.76,28.2,0.54,0.23,0.67,0.34,38716,1138,9162,50033,971,2581,41317,789,331,984,494,77.66,198749,154346,3.56,0.12,1.39,5500,187,2143
JUJUY_HUMAHUACA,"Humahuaca, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,18.76,0.8,2.55,46.43,0.4,1.57,27,0.9,0.42,0.77,0.4,1735,74,236,4294,37,145,2497,83,39,71,37,69.4,14032,9738,3.52,0.08,1.43,343,8,139
JUJUY_LEDESMA,"Ledesma, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,17.11,0.97,2.13,47.84,0.4,1.11,29.17,0.38,0.14,0.36,0.4,7450,423,926,20835,173,484,12704,165,59,155,173,74.85,60437,45239,2.39,0.07,1.28,1081,33,578
JUJUY_PALPALA,"Palpala, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,21.09,0.88,4.78,35.79,0.6,1.27,33.09,0.6,0.23,1.05,0.63,6240,259,1415,10588,178,375,9791,177,68,311,185,79.94,38914,31106,3.43,0.09,1.37,1066,28,425
JUJUY_RINCONADA,"Rinconada, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,13.2,0.61,1.57,70.34,0.12,0.61,12.71,0.61,0.12,0,0.12,109,5,13,581,1,5,105,5,1,0,1,53.81,1576,848,1.42,0,1.18,12,0,10
JUJUY_SAN ANTONIO,"San Antonio, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,17.48,0.44,2.59,60.42,0.17,0.67,17.68,0.13,0.13,0.13,0.13,519,13,77,1794,5,20,525,4,4,4,4,80.58,3790,3054,1.93,0.13,0.72,59,4,22
JUJUY_SAN PEDRO,"San Pedro, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,21.07,0.55,1.65,48.56,0.46,0.89,25.97,0.32,0.15,0.2,0.18,9090,237,711,20950,200,385,11202,136,65,87,77,76.77,58291,44750,2.3,0.16,1.14,1028,71,511
JUJUY_SANTA BARBARA,"Santa Barbara, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,23.45,0.28,0.55,56.38,0.18,0.87,17.79,0.15,0.12,0.08,0.15,2414,29,57,5803,19,90,1831,15,12,8,15,75.24,14048,10570,1.82,0.08,0.73,192,8,77
JUJUY_SANTA CATALINA,"Santa Catalina, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,12.54,0.38,0.44,65.29,0.19,0.25,20.58,0.25,0,0.06,0,198,6,7,1031,3,4,325,4,0,1,0,61.67,2669,1646,2.55,0.24,1.28,42,4,21
JUJUY_SUSQUES,"Susques, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,31.2,0.64,0.75,55.46,0,2.25,8.78,0,0.46,0.35,0.12,540,11,13,960,0,39,152,0,8,6,2,66.34,2745,1821,2.58,0.82,1.54,47,15,28
JUJUY_TILCARA,"Tilcara, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,19.1,0.67,2.91,48.75,0.5,1.3,24.72,0.65,0.33,0.76,0.3,1259,44,192,3213,33,86,1629,43,22,50,20,75.17,9236,6943,3.89,0.06,1.12,270,4,78
JUJUY_TUMBAYA,"Tumbaya, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,23.97,0.58,2.05,56.06,0.46,1.15,14.95,0.26,0.09,0.2,0.23,832,20,71,1946,16,40,519,9,3,7,8,77,4653,3583,1.84,0.56,0.73,66,20,26
JUJUY_VALLE GRANDE,"Valle Grande, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,34.15,0.22,0.22,49.78,0,0.22,15.18,0.22,0,0,0,153,1,1,223,0,1,68,1,0,0,0,64.4,736,474,0.42,4.64,0.42,2,22,2
JUJUY_YAVI,"Yavi, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,15.48,0.72,2.06,51.62,0.29,1.1,27.04,0.78,0.29,0.28,0.34,1589,74,212,5300,30,113,2776,80,30,29,35,65.97,16264,10729,2.67,0.15,1.47,287,16,158
LA PAMPA_ATREUCO,"Atreuco, La Pampa",ALIANZA CAMBIEMOS,45.11,1.32,0.88,39.57,0.17,2.42,9.7,0.3,0.2,0.21,0.13,3186,93,62,2795,12,171,685,21,14,15,9,81.07,9156,7423,3.89,0.08,0.88,289,6,65
LA PAMPA_CALEU CALEU,"Caleu Caleu, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,15.75,2.1,1.35,59.19,0.3,4.5,15.23,0.75,0.08,0.45,0.3,210,28,18,789,4,60,203,10,1,6,4,79.35,1724,1368,1.61,0,0.95,22,0,13
LA PAMPA_CAPITAL,"Capital, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,34.25,1.82,2.81,38.58,0.61,3.83,16.21,0.79,0.25,0.43,0.43,21948,1163,1801,24722,391,2452,10384,505,161,275,273,75.08,90022,67587,3.57,0.07,1.56,2411,46,1055
LA PAMPA_CATRILO,"Catrilo, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,38.12,1.42,0.7,45.07,0.25,0.78,13.02,0.25,0.11,0.17,0.11,1800,67,33,2128,12,37,615,12,5,8,5,80.99,6098,4939,3.71,0,0.69,183,0,34
LA PAMPA_CHALILEO,"Chalileo, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,17.59,1.19,1.41,69.91,0,1.02,7.24,0.68,0.23,0.57,0.17,311,21,25,1236,0,18,128,12,4,10,3,75.48,2451,1850,3.62,0.11,0.7,67,2,13
LA PAMPA_CHAPALEUFU,"Chapaleufu, La Pampa",ALIANZA CAMBIEMOS,42.73,2.62,0.92,36.9,0.29,2.49,12.74,0.29,0.2,0.5,0.33,3263,200,70,2818,22,190,973,22,15,38,25,79.93,10116,8086,4.63,0.02,0.92,374,2,74
LA PAMPA_CHICAL CO,"Chical-Co, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,14.3,2.16,0.36,71.27,1.8,0.6,8.77,0.24,0,0.36,0.12,119,18,3,593,15,5,73,2,0,3,1,73.21,1202,880,5,0,0.45,44,0,4
LA PAMPA_CONHELO,"Conhelo, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,34.71,1.97,1.36,44.97,0.3,1.68,13.63,0.43,0.23,0.47,0.24,3359,191,132,4352,29,163,1319,42,22,45,23,78.68,12713,10003,2.48,0.01,0.77,248,1,77
LA PAMPA_CURACO,"Curaco, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,21.55,1.52,0.34,62.46,0.34,2.53,10.77,0.51,0,0,0,128,9,2,371,2,15,64,3,0,0,0,78.44,784,615,2.44,0,0.98,15,0,6
LA PAMPA_GUATRACHE,"Guatrache, La Pampa",ALIANZA CAMBIEMOS,52.85,1.23,1.56,25.97,0.44,1.7,15.34,0.29,0.15,0.24,0.24,2914,68,86,1432,24,94,846,16,8,13,13,76.63,7449,5708,3.07,0,0.33,175,0,19
LA PAMPA_HUCAL,"Hucal, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,37.37,1.22,1.01,38.41,0.3,1.96,18.91,0.34,0.17,0.13,0.17,1966,64,53,2021,16,103,995,18,9,7,9,78.37,6986,5475,3.11,0,0.8,170,0,44
LA PAMPA_LIHUEL CALEL,"Lihuel Calel, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,27.22,0,0.56,60.56,0,1.11,8.33,0.56,0,1.11,0.56,49,0,1,109,0,2,15,1,0,2,1,72,250,180,0,0,0,0,0,0
LA PAMPA_LIMAY MAHUIDA,"Limay Mahuida, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,32.57,5.26,0.33,39.8,0,0,20.39,0,0.66,0.66,0.33,99,16,1,121,0,0,62,0,2,2,1,67.61,460,311,2.25,0,0,7,0,0
LA PAMPA_LOVENTUE,"Loventue, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,28.13,2.19,1.18,54.33,0.2,1.57,11.61,0.25,0.11,0.34,0.09,1577,123,66,3046,11,88,651,14,6,19,5,77.24,7645,5905,4.27,0.02,0.78,252,1,46
LA PAMPA_MARACO,"Maraco, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,33.52,2.87,1.98,38.35,0.49,2.92,17.98,0.46,0.21,0.37,0.86,12344,1058,730,14126,180,1074,6621,168,77,137,315,78.63,49638,39031,4.15,0.12,1.38,1618,45,538
LA PAMPA_PUELEN,"Puelen, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,20.74,2.75,1.55,40,1.68,1.7,29.91,0.77,0.3,0.32,0.3,1110,147,83,2141,90,91,1601,41,16,17,16,77.5,7548,5850,7.2,0.03,1.26,421,2,74
LA PAMPA_QUEMU QUEMU,"Quemu Quemu, La Pampa",ALIANZA CAMBIEMOS,41.81,1.85,2.4,33.87,0.28,1.4,17.37,0.34,0.16,0.3,0.21,2352,104,135,1905,16,79,977,19,9,17,12,78.89,7446,5874,3.71,0,0.53,218,0,31
LA PAMPA_RANCUL,"Rancul, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,40.82,3.05,0.75,43.11,0.2,0.98,10.15,0.4,0.12,0.19,0.23,2627,196,48,2774,13,63,653,26,8,12,15,74.96,9011,6755,4.07,0.01,0.65,275,1,44
LA PAMPA_REALICO,"Realico, La Pampa",ALIANZA CAMBIEMOS,39.64,3.56,1.45,38.69,0.44,2.65,12.74,0.28,0.12,0.27,0.16,4129,371,151,4030,46,276,1327,29,13,28,17,77.04,14118,10876,3.41,0.02,0.79,371,2,86
LA PAMPA_TOAY,"Toay, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,29.62,1.67,2.32,44.35,0.35,3.13,17.1,0.69,0.22,0.33,0.22,2271,128,178,3400,27,240,1311,53,17,25,17,73.96,10875,8043,3.27,0.06,1.34,263,5,108
LA PAMPA_TRENEL,"Trenel, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,37.08,3.84,1,43.52,0.24,1.3,12.25,0.18,0.18,0.21,0.21,1256,130,34,1474,8,44,415,6,6,7,7,74.71,4705,3515,2.87,0,0.77,101,0,27
LA PAMPA_UTRACAN,"Utracan, La Pampa",ALIANZA CAMBIEMOS,39.3,1.96,1.55,33.51,0.47,1.5,20.23,0.56,0.23,0.32,0.37,3590,179,142,3061,43,137,1848,51,21,29,34,73.66,13158,9692,4.31,0.14,1.29,418,14,125
LA RIOJA_ARAUCO,"Arauco, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,24.2,1.98,0.54,51.16,0.32,0.43,20.44,0.12,0.15,0.32,0.34,1576,129,35,3332,21,28,1331,8,10,21,22,57.42,11870,6816,3.18,0.16,1.1,217,11,75
LA RIOJA_CAPITAL,"Capital, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,30.33,4.86,1.75,33.25,0.39,0.79,27.08,0.41,0.23,0.42,0.49,27692,4438,1601,30367,353,722,24725,375,213,387,443,67.68,142629,96534,3.99,0.34,1.08,3855,324,1039
LA RIOJA_CASTRO BARROS,"Castro Barros, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,21.26,1.51,0.84,57.15,0.17,0.44,17.93,0.17,0.13,0.27,0.13,633,45,25,1702,5,13,534,5,4,8,4,78.92,4184,3302,2.67,6.78,0.36,88,224,12
LA RIOJA_CHAMICAL,"Chamical, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,24.71,5.38,0.85,43.39,0.28,1.07,23.5,0.29,0.15,0.09,0.29,1686,367,58,2960,19,73,1603,20,10,6,20,59.38,11981,7114,3.11,0.01,0.98,221,1,70
LA RIOJA_CHILECITO,"Chilecito, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,31.45,3.19,1.6,36.59,0.32,0.85,24.77,0.3,0.17,0.4,0.37,7476,758,380,8698,77,202,5889,72,40,94,88,67.06,37552,25182,4.61,0.09,0.89,1162,22,224
LA RIOJA_FAMATINA,"Famatina, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,14.53,1.53,1.15,47.47,0.71,0.36,33.41,0.16,0.22,0.33,0.14,532,56,42,1738,26,13,1223,6,8,12,5,77.53,4923,3817,3.35,0.34,0.39,128,13,15
LA RIOJA_CORONEL FELIPE VARELA,"Felipe Varela, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,22.39,2.44,0.7,55.49,0.86,0.39,16.46,0.32,0.27,0.23,0.45,1255,137,39,3111,48,22,923,18,15,13,25,68.57,8699,5965,5.82,0.05,0.15,347,3,9
LA RIOJA_GENERAL ANGEL V. PEÑALOZA,"General Angel V. Peñaloza, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,12.94,3.86,0.24,71.06,0.24,0.08,10.77,0.08,0.32,0,0.4,161,48,3,884,3,1,134,1,4,0,5,60.79,2160,1313,4.57,0,0.69,60,0,9
LA RIOJA_GENERAL BELGRANO,"General Belgrano, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,23.6,4.05,0.51,48.13,0.06,0.38,22.62,0.19,0.1,0.1,0.26,740,127,16,1509,2,12,709,6,3,3,8,53.68,6412,3442,3.11,5.43,0.38,107,187,13
LA RIOJA_GENERAL LAMADRID,"General Lamadrid, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,18.23,1.05,0.08,66.77,0,0.08,13.31,0.08,0,0.08,0.32,226,13,1,828,0,1,165,1,0,1,4,76.26,1664,1269,2.29,0,0,29,0,0
LA RIOJA_GENERAL OCAMPO,"General Ocampo, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,14.79,4.63,0.29,64.05,0.11,0.2,15.33,0.09,0.11,0.14,0.26,518,162,10,2243,4,7,537,3,4,5,9,57.84,6228,3602,2.14,0.17,0.47,77,6,17
LA RIOJA_GENERAL SAN MARTIN,"General San Martin, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,21.26,3.2,0.85,63.23,0.04,0.21,10.74,0.17,0.09,0.04,0.17,499,75,20,1484,1,5,252,4,2,1,4,64.33,3897,2507,2.67,2.63,1.08,67,66,27
LA RIOJA_INDEPENDENCIA,"Independencia, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,13.83,3.39,0.71,65.49,0.07,0.07,14.26,0.78,0.28,0.64,0.49,196,48,10,928,1,1,202,11,4,9,7,66.01,2301,1519,6.58,0,0.13,100,0,2
LA RIOJA_GENERAL JUAN F. QUIROGA,"Juan Facundo Quiroga, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,18.32,4.42,0.49,61.42,0.05,0.15,14.14,0.29,0.1,0.29,0.34,377,91,10,1264,1,3,291,6,2,6,7,63.27,3428,2169,4.75,0,0.37,103,0,8
LA RIOJA_ROSARIO VERA PEÑALOZA,"Rosario Vera Peñaloza, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,13.81,7.25,1.39,56.88,1.46,0.36,17.51,0.25,0.3,0.43,0.34,926,486,93,3813,98,24,1174,17,20,29,23,58.25,12032,7009,3.45,0.2,0.71,242,14,50
LA RIOJA_SAN BLAS DE LOS SAUCES,"San Blas De Los Sauces, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,18.86,0.99,0.43,54.68,0.43,0.24,23.91,0.09,0.09,0.09,0.19,399,21,9,1157,9,5,506,2,2,2,4,68.44,3210,2197,2.59,0.36,0.73,57,8,16
LA RIOJA_SANAGASTA,"Sanagasta, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,17.09,2.02,0.64,60.02,0.25,0.49,18.76,0.15,0.2,0.15,0.25,347,41,13,1219,5,10,381,3,4,3,5,78.65,2721,2140,4.16,0.05,0.89,89,1,19
LA RIOJA_VINCHINA,"Vinchina, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,22.31,2.49,0.9,61.95,0.49,0.21,11.23,0,0.07,0.21,0.14,322,36,13,894,7,3,162,0,1,3,2,62.51,2451,1532,5.03,0,0.78,77,0,12
MENDOZA_CAPITAL,"Capital, Mendoza",ALIANZA CAMBIEMOS,51.04,2.8,9.22,21.57,0.34,2.68,11.46,0.2,0.23,0.21,0.26,35589,1954,6425,15036,235,1869,7989,139,162,145,178,73.74,99182,73134,3.24,0.16,1.26,2372,118,923
MENDOZA_GENERAL ALVEAR,"General Alvear, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,35.55,5.49,2.31,40.65,0.45,1.5,12.65,0.32,0.14,0.23,0.71,9710,1499,630,11102,124,410,3454,88,39,62,193,76.69,37265,28578,3.4,0.05,0.98,973,14,280
MENDOZA_GODOY CRUZ,"Godoy Cruz, Mendoza",ALIANZA CAMBIEMOS,41.76,4.31,10.94,25.78,0.31,2,14.04,0.28,0.1,0.32,0.17,46588,4803,12208,28756,349,2234,15658,309,106,354,190,76.67,155206,118992,4.48,0.17,1.6,5327,204,1906
MENDOZA_GUAYMALLEN,"Guaymallen, Mendoza",ALIANZA CAMBIEMOS,37.09,5.02,11.09,28.46,0.5,1.37,15.33,0.28,0.15,0.28,0.43,58396,7910,17458,44812,790,2158,24130,448,232,440,679,76.41,218429,166904,3.74,0.21,1.71,6239,350,2862
MENDOZA_JUNIN,"Junin, Mendoza",ALIANZA CAMBIEMOS,36.66,8.53,9.59,28.86,0.63,0.99,13.17,0.41,0.21,0.33,0.62,8819,2053,2307,6942,152,239,3167,98,51,79,149,81.19,32172,26119,6.19,0.02,1.68,1618,5,440
MENDOZA_LA PAZ,"La Paz, Mendoza",ALIANZA CAMBIEMOS,44.76,4.28,2.43,39.02,0.31,0.71,5.58,0.19,0.25,0.14,2.34,2890,276,157,2519,20,46,360,12,16,9,151,80.91,8591,6951,6.37,0,0.75,443,0,52
MENDOZA_LAS HERAS,"Las Heras, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,31.28,4.88,11.46,35.54,0.36,1.12,14.19,0.27,0.15,0.32,0.42,34711,5416,12718,39433,398,1246,15749,299,170,356,468,77.48,152957,118512,4.5,0.19,1.67,5335,228,1985
MENDOZA_LAVALLE,"Lavalle, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,23.97,3.7,8.87,51.71,0.5,0.48,9.06,0.32,0.13,0.25,1,5562,858,2058,11999,117,111,2103,74,31,57,233,81.12,30416,24672,4.89,0.04,1.03,1206,10,253
MENDOZA_LUJAN DE CUYO,"Lujan, Mendoza",ALIANZA CAMBIEMOS,39.43,4.78,10.84,27.76,0.42,1.58,13.74,0.44,0.16,0.44,0.4,28503,3457,7833,20066,303,1145,9933,317,119,321,287,79.36,96021,76198,3.35,0.09,1.7,2551,70,1293
