,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
366,MISIONES_LEANDRO N. ALEM,"Leandro N. Alem, Misiones",FRENTE DE TODOS,3.05,0.62,58.24,4.08,32.88,1.13,939,191,17931,1255,10124,348,83.91,38020,31903,2.73,0.05,0.72,871,15,229
367,MISIONES_LIBERTADOR GENERAL SAN MARTIN,"Libertador General San Martin, Misiones",FRENTE DE TODOS,3.37,0.82,55,2.19,37.69,0.92,1016,246,16568,661,11353,277,81.54,37924,30925,1.8,0.08,0.72,556,25,223
368,MISIONES_MONTECARLO,"Montecarlo, Misiones",FRENTE DE TODOS,4.33,1.11,60.82,3.13,29.63,0.98,926,237,13003,669,6335,209,79.52,27513,21877,1.46,0.04,0.78,319,8,171
369,MISIONES_OBERA,"Obera, Misiones",FRENTE DE TODOS,3.02,0.65,58.07,4.2,32.83,1.24,2081,449,40057,2894,22645,856,81.43,86778,70664,1.54,0.08,0.76,1089,54,539
370,MISIONES_SAN IGNACIO,"San Ignacio, Misiones",FRENTE DE TODOS,2.64,0.69,63.9,2.55,29.4,0.82,947,247,22941,917,10554,294,80.77,45472,36729,1.48,0.11,0.67,544,40,245
371,MISIONES_SAN JAVIER,"San Javier, Misiones",FRENTE DE TODOS,1.83,0.29,65.83,1.97,29.67,0.42,250,39,8978,268,4046,57,79.53,17527,13939,1.51,0.17,0.48,211,23,67
372,MISIONES_SAN PEDRO,"San Pedro, Misiones",FRENTE DE TODOS,1.73,0.55,80.67,2.69,13.9,0.46,271,86,12613,421,2173,72,79.25,20170,15985,1.83,0.01,0.34,293,1,55
373,NEUQUEN_ALUMINE,"Alumine, Neuquen",FRENTE DE TODOS,4.5,3.78,56.85,2.84,30.55,1.48,238,200,3005,150,1615,78,80.72,6990,5642,4.84,0.25,1.22,273,14,69
374,NEUQUEN_AÑELO,"Añelo, Neuquen",FRENTE DE TODOS,4.98,2.68,62.21,2.49,26.12,1.52,457,246,5712,229,2398,140,78.27,12692,9934,4.93,0.07,2.57,490,7,255
375,NEUQUEN_CATAN LIL,"Catan Lil, Neuquen",FRENTE DE TODOS,3.49,2.66,76.93,1.58,14.19,1.16,42,32,927,19,171,14,79.85,1603,1280,4.92,0.08,0.86,63,1,11
376,NEUQUEN_CHOS MALAL,"Chos Malal, Neuquen",FRENTE DE TODOS,5.45,2.99,57.11,2.55,30.27,1.64,522,286,5471,244,2900,157,80.9,12622,10211,4.93,0.06,1.19,503,6,122
377,NEUQUEN_COLLON CURA,"Collon Cura, Neuquen",FRENTE DE TODOS,4.45,2.94,60.18,3.15,27.64,1.65,127,84,1718,90,789,47,81.91,3698,3029,4.49,0.07,1.19,136,2,36
378,NEUQUEN_CONFLUENCIA,"Confluencia, Neuquen",FRENTE DE TODOS,6.53,3.99,46.39,2.83,38.09,2.16,17392,10624,123478,7529,101383,5745,85.45,323961,276827,2.3,0.08,1.48,6359,230,4087
379,NEUQUEN_HUILICHES,"Huiliches, Neuquen",FRENTE DE TODOS,6.12,3.55,50.31,2.38,36.37,1.27,663,385,5454,258,3943,138,82.36,13926,11469,3.82,0.04,1.61,438,5,185
380,NEUQUEN_LACAR,"Lacar, Neuquen",JUNTOS POR EL CAMBIO,5.87,4.39,36.83,2.15,48.6,2.15,1278,955,8013,468,10573,468,79.05,28918,22861,2.16,0.08,2.6,493,19,594
381,NEUQUEN_LONCOPUE,"Loncopue, Neuquen",FRENTE DE TODOS,6.16,2.53,62.13,1.89,25.84,1.44,248,102,2500,76,1040,58,84.54,5355,4527,9.12,0.11,1.88,413,5,85
382,NEUQUEN_LOS LAGOS,"Los Lagos, Neuquen",JUNTOS POR EL CAMBIO,5.97,3.28,38.49,2.83,47.62,1.8,497,273,3202,235,3961,150,77.68,11358,8823,4.4,0.09,1.24,388,8,109
383,NEUQUEN_MINAS,"Minas, Neuquen",FRENTE DE TODOS,4.92,3.1,67.99,3.76,18.86,1.37,241,152,3330,184,924,67,84.32,6567,5537,10.08,0.04,1.43,558,2,79
384,NEUQUEN_PEHUENCHES,"Pehuenches, Neuquen",FRENTE DE TODOS,6.07,2.38,48.69,6.28,34.75,1.84,891,350,7150,922,5103,270,79.89,20254,16181,6.99,0.04,2.21,1131,7,357
385,NEUQUEN_PICUN LEUFU,"Picun Leufu, Neuquen",FRENTE DE TODOS,5.54,2.12,68.49,1.82,20.95,1.08,180,69,2226,59,681,35,83.08,4108,3413,3.31,0.26,1.2,113,9,41
386,NEUQUEN_PICUNCHES,"Picunches, Neuquen",FRENTE DE TODOS,4.09,1.73,52.54,3.03,37.35,1.26,182,77,2339,135,1663,56,82.61,5761,4759,5.19,0.02,1.24,247,1,59
387,NEUQUEN_ZAPALA,"Zapala, Neuquen",FRENTE DE TODOS,6.77,3.42,46.03,3.01,38.79,1.99,1796,907,12215,798,10294,528,84.61,32730,27694,2.73,0.05,1.4,755,14,387
388,NEUQUEN_ÑORQUIN,"Ñorquin, Neuquen",FRENTE DE TODOS,5.21,2.56,68.66,2,20,1.57,169,83,2228,65,649,51,82.56,4351,3592,8.63,0,1.03,310,0,37
389,RIO NEGRO_25 DE MAYO,"25 De Mayo, Rio Negro",FRENTE DE TODOS,3.3,1.44,76.1,3.07,15.15,0.95,286,125,6596,266,1313,82,76.14,11946,9096,3.96,0.05,0.69,360,5,63
390,RIO NEGRO_ADOLFO ALSINA,"Adolfo Alsina, Rio Negro",FRENTE DE TODOS,6.79,2.51,54.79,3.64,30.15,2.13,2760,1019,22277,1479,12259,865,79.99,52908,42320,2.39,0.26,1.27,1012,112,537
391,RIO NEGRO_AVELLANEDA,"Avellaneda, Rio Negro",FRENTE DE TODOS,5.08,1.67,60.97,3.23,27.68,1.37,1136,374,13643,723,6194,307,82.57,28863,23832,4.33,0.23,1.55,1031,55,369
392,RIO NEGRO_BARILOCHE,"Bariloche, Rio Negro",FRENTE DE TODOS,6.86,3.51,55.83,2.78,28.94,2.07,6066,3105,49358,2458,25584,1832,78.55,116283,91341,1.73,0.08,1.4,1583,74,1281
393,RIO NEGRO_CONESA,"Conesa, Rio Negro",FRENTE DE TODOS,5.49,1.49,60.04,2.61,29.25,1.12,221,60,2418,105,1178,45,80.49,5552,4469,8.73,0.13,1.03,390,6,46
394,RIO NEGRO_EL CUY,"El Cuy, Rio Negro",FRENTE DE TODOS,3.3,2.1,73.91,2.14,18.09,0.47,85,54,1904,55,466,12,79.25,3455,2738,3.47,0.22,2.23,95,6,61
395,RIO NEGRO_GENERAL ROCA,"General Roca, Rio Negro",FRENTE DE TODOS,6.2,2.59,56.3,3.35,29.46,2.09,13100,5473,118890,7082,62219,4412,82.94,266224,220810,2.7,0.13,1.53,5960,298,3376
396,RIO NEGRO_9 DE JULIO,"Nueve De Julio, Rio Negro",FRENTE DE TODOS,3.77,1.72,78.68,4.77,10.25,0.81,79,36,1650,100,215,17,73.51,2994,2201,4,0.05,0.68,88,1,15
397,RIO NEGRO_PICHI MAHUIDA,"Pichi Mahuida, Rio Negro",FRENTE DE TODOS,6.9,1.48,56.63,1.98,31.38,1.63,668,143,5483,192,3039,158,79.43,12589,10000,2.01,0.13,1.03,201,13,103
398,RIO NEGRO_PILCANIYEU,"Pilcaniyeu, Rio Negro",FRENTE DE TODOS,5.86,2.23,59.63,2.82,27.44,2.02,337,128,3427,162,1577,116,80.37,7560,6076,4.46,0.02,0.94,271,1,57
399,RIO NEGRO_SAN ANTONIO,"San Antonio Oeste, Rio Negro",FRENTE DE TODOS,4.98,1.81,61.31,4.89,25.33,1.68,953,347,11736,936,4848,322,77.53,26582,20609,5.96,0.15,1.01,1229,30,208
400,RIO NEGRO_VALCHETA,"Valcheta, Rio Negro",FRENTE DE TODOS,3.94,1.3,67.35,3.87,22.2,1.34,112,37,1914,110,631,38,73.77,4064,2998,3.84,0.33,1.03,115,10,31
401,RIO NEGRO_ÑORQUINCO,"Ñorquinco, Rio Negro",FRENTE DE TODOS,3.25,1.91,76.66,3.93,13.02,1.23,29,17,683,35,116,11,68.74,1382,950,5.58,0,0.63,53,0,6
402,SALTA_ANTA,"Anta, Salta",FRENTE DE TODOS,5.91,0.88,63.57,1.67,27.3,0.68,1906,283,20512,539,8808,220,71.33,45880,32726,0.75,0.08,0.57,245,26,187
403,SALTA_CACHI,"Cachi, Salta",FRENTE DE TODOS,13.34,1.52,53.03,0.87,29.8,1.44,675,77,2684,44,1508,73,75.4,6849,5164,1.12,0.04,0.83,58,2,43
404,SALTA_CAFAYATE,"Cafayate, Salta",FRENTE DE TODOS,9.59,1.69,57.45,2.18,27.45,1.65,954,168,5716,217,2731,164,78.99,12839,10142,0.96,0.13,0.81,97,13,82
405,SALTA_CAPITAL,"Capital, Salta",JUNTOS POR EL CAMBIO,13.37,2.16,35.35,2.41,44.43,2.28,43857,7076,115941,7904,145715,7490,79.02,423573,334704,0.74,0.19,1.08,2488,623,3610
406,SALTA_CERRILLOS,"Cerrillos, Salta",FRENTE DE TODOS,13.47,1.55,43.52,2.01,37.79,1.66,3674,422,11875,549,10311,453,80.92,34233,27703,0.55,0.15,0.81,153,41,225
407,SALTA_CHICOANA,"Chicoana, Salta",FRENTE DE TODOS,12.12,1.59,43.55,1.29,40.22,1.22,1764,232,6341,188,5856,178,81.72,18123,14810,0.7,0.2,0.79,104,30,117
408,SALTA_GENERAL GUEMES,"General Guemes, Salta",FRENTE DE TODOS,9.85,1.79,58.44,1.82,26.51,1.59,2948,536,17499,546,7938,475,78.31,38888,30452,0.61,0.09,0.98,185,28,297
409,SALTA_GUACHIPAS,"Guachipas, Salta",FRENTE DE TODOS,18.59,1.22,42.42,0.9,36.09,0.77,411,27,938,20,798,17,76.11,2963,2255,1.02,0.09,0.84,23,2,19
410,SALTA_IRUYA,"Iruya, Salta",FRENTE DE TODOS,8.02,1.25,77.61,1.25,11.24,0.63,192,30,1858,30,269,15,66.14,3674,2430,0.95,0.21,0.33,23,5,8
411,SALTA_LA CALDERA,"La Caldera, Salta",JUNTOS POR EL CAMBIO,12.06,1.52,34.98,1.86,47.96,1.62,1275,161,3699,197,5072,171,80.93,13275,10744,0.66,0.14,0.77,71,15,83
412,SALTA_LA CANDELARIA,"La Candelaria, Salta",FRENTE DE TODOS,15.12,1.21,56.7,0.54,25.47,0.96,613,49,2299,22,1033,39,79.53,5155,4100,0.44,0.12,0.54,18,5,22
413,SALTA_LA POMA,"La Poma, Salta",FRENTE DE TODOS,15.23,2.46,59.72,1.18,19.94,1.47,155,25,608,12,203,15,72.6,1427,1036,1.25,0,0.48,13,0,5
414,SALTA_LA VIÑA,"La Viña, Salta",FRENTE DE TODOS,13.99,0.9,50.1,0.81,33.11,1.09,773,50,2769,45,1830,60,78.68,7133,5612,0.59,0.11,0.82,33,6,46
415,SALTA_LOS ANDES,"Los Andes, Salta",FRENTE DE TODOS,33.2,1.95,36.21,1.6,25.24,1.8,1310,77,1429,63,996,71,70.42,5709,4020,0.7,0.2,0.95,28,8,38
416,SALTA_METAN,"Metan, Salta",FRENTE DE TODOS,8.24,1.36,53.47,1.66,33.36,1.9,2033,336,13186,409,8227,468,74.94,33476,25088,0.63,0.06,1.02,158,14,257
417,SALTA_MOLINOS,"Molinos, Salta",FRENTE DE TODOS,20.45,0.71,49,0.62,28.13,1.09,693,24,1660,21,953,37,74.3,4619,3432,0.87,0.06,0.35,30,2,12
418,SALTA_ORAN,"Oran, Salta",FRENTE DE TODOS,7.74,1.78,59.93,2.71,26.28,1.55,6064,1397,46927,2125,20579,1210,71.97,110885,79804,0.73,0.23,0.92,583,185,734
419,SALTA_RIVADAVIA,"Rivadavia, Salta",FRENTE DE TODOS,4.09,0.52,83.47,1.21,10.29,0.42,624,80,12726,184,1569,64,62.6,24713,15471,0.39,0.15,0.91,60,23,141
420,SALTA_ROSARIO DE LA FRONTERA,"Rosario De La Frontera, Salta",FRENTE DE TODOS,8.85,1.27,58.25,0.82,29.5,1.31,1593,229,10484,148,5309,235,75.1,24366,18298,0.7,0.09,0.85,128,17,155
421,SALTA_ROSARIO DE LERMA,"Rosario De Lerma, Salta",FRENTE DE TODOS,12.83,1.65,41.65,3.13,38.78,1.96,3410,438,11074,831,10311,522,79.83,34052,27183,0.73,0.19,1.28,198,51,348
422,SALTA_SAN CARLOS,"San Carlos, Salta",FRENTE DE TODOS,9.86,0.9,63.92,1.05,23.25,1.02,405,37,2626,43,955,42,73.2,5687,4163,0.74,0.02,0.55,31,1,23
423,SALTA_GENERAL JOSE DE SAN MARTIN,"San Martin, Salta",FRENTE DE TODOS,4.87,1.46,70.81,2.1,19.61,1.14,4196,1261,61045,1814,16905,987,71.1,123541,87834,0.68,0.5,0.67,597,440,589
424,SALTA_SANTA VICTORIA,"Santa Victoria, Salta",FRENTE DE TODOS,8.52,2.08,72.44,0.57,15.25,1.14,90,22,765,6,161,12,55.02,1954,1075,0.65,0.28,0.84,7,3,9
425,SAN JUAN_25 DE MAYO,"25 De Mayo, San Juan",FRENTE DE TODOS,6.12,1.11,69.48,2.28,20.5,0.51,667,121,7572,248,2234,56,81.43,13554,11037,0.87,0.01,0.38,96,1,42
426,SAN JUAN_ALBARDON,"Albardon, San Juan",FRENTE DE TODOS,7.19,1.24,62.2,2.18,26.22,0.97,1214,209,10498,368,4426,163,85.51,20025,17123,0.69,0.03,0.71,118,5,122
427,SAN JUAN_ANGACO,"Angaco, San Juan",FRENTE DE TODOS,7.11,1.35,60.39,1.26,28.62,1.27,469,89,3984,83,1888,84,81.22,8271,6718,1.1,0.06,0.64,74,4,43
428,SAN JUAN_CALINGASTA,"Calingasta, San Juan",FRENTE DE TODOS,6.81,1.45,59.18,0.65,30.63,1.29,418,89,3634,40,1881,79,80.14,7899,6330,1.67,0.02,1.3,106,1,82
429,SAN JUAN_CAPITAL,"Capital, San Juan",JUNTOS POR EL CAMBIO,6.92,1.49,34.13,1.54,54.42,1.49,5096,1100,25133,1136,40073,1096,81.46,91707,74705,0.69,0.03,0.71,514,24,533
430,SAN JUAN_CAUCETE,"Caucete, San Juan",FRENTE DE TODOS,6.39,1.25,59.27,2.31,29.8,0.99,1454,284,13497,525,6787,225,79.44,29100,23116,0.82,0.02,0.65,189,4,151
431,SAN JUAN_CHIMBAS,"Chimbas, San Juan",FRENTE DE TODOS,7.56,1.57,61.79,2.22,25.54,1.31,3983,830,32575,1170,13464,693,83.51,64420,53797,1.01,0.03,0.97,541,17,524
432,SAN JUAN_IGLESIA,"Iglesia, San Juan",FRENTE DE TODOS,7.38,1.68,51.69,1.17,36.91,1.17,391,89,2738,62,1955,62,76.86,7095,5453,2.05,0,0.81,112,0,44
433,SAN JUAN_JACHAL,"Jachal, San Juan",FRENTE DE TODOS,5.49,2.52,65.24,0.93,24.93,0.88,834,383,9910,141,3787,134,83.31,18526,15434,0.79,0.02,0.78,122,3,120
434,SAN JUAN_9 DE JULIO,"Nueve De Julio, San Juan",FRENTE DE TODOS,8.82,1.67,62.12,0.94,25.11,1.35,622,118,4381,66,1771,95,82.48,8714,7187,1.15,0.01,0.7,83,1,50
435,SAN JUAN_POCITO,"Pocito, San Juan",FRENTE DE TODOS,6.57,1.52,62.85,2.42,25.71,0.92,2316,537,22144,852,9060,325,83.44,43139,35994,1.02,0.07,1.03,367,24,369
436,SAN JUAN_RAWSON,"Rawson, San Juan",FRENTE DE TODOS,8.45,1.65,53.2,2.36,32.82,1.53,6279,1224,39536,1753,24388,1139,82.01,92542,75893,0.99,0.05,1.04,748,36,790
437,SAN JUAN_RIVADAVIA,"Rivadavia, San Juan",FRENTE DE TODOS,7.32,1.61,44.52,1.6,43.47,1.48,4215,929,25623,918,25016,850,83.92,69799,58576,0.86,0.04,0.85,502,24,499
438,SAN JUAN_SAN MARTIN,"San Martin, San Juan",FRENTE DE TODOS,8.1,1.38,63.05,2.39,24.2,0.88,628,107,4888,185,1876,68,85.45,9292,7940,1.69,0,0.68,134,0,54
